poi,holiday,hour,val_stim
42,holiday,8,19.88888888888889
42,holiday,12,65.77777777777777
42,holiday,16,24.22222222222222
42,no_holiday,8,17.714285714285715
42,no_holiday,12,53.73809523809524
42,no_holiday,16,20.80952380952381
49,holiday,8,284.5
49,holiday,12,120.72222222222223
49,holiday,16,55.333333333333336
49,no_holiday,8,145.8095238095238
49,no_holiday,12,85.04761904761905
49,no_holiday,16,21.023809523809526
52,holiday,8,19.055555555555557
52,holiday,12,171.0
52,holiday,16,63.55555555555556
52,no_holiday,8,8.238095238095237
52,no_holiday,12,158.0952380952381
52,no_holiday,16,19.19047619047619
54,holiday,8,7.944444444444445
54,holiday,12,187.0
54,holiday,16,61.05555555555556
54,no_holiday,8,7.738095238095238
54,no_holiday,12,179.02380952380952
54,no_holiday,16,62.476190476190474
58,holiday,8,11.5
58,holiday,12,16.38888888888889
58,holiday,16,15.166666666666666
58,no_holiday,8,10.785714285714286
58,no_holiday,12,11.5
58,no_holiday,16,11.142857142857142
59,holiday,8,102.16666666666667
59,holiday,12,141.0
59,holiday,16,102.16666666666667
59,no_holiday,8,23.69047619047619
59,no_holiday,12,60.095238095238095
59,no_holiday,16,22.666666666666668
61,holiday,8,136.94444444444446
61,holiday,12,136.94444444444446
61,holiday,16,103.05555555555556
61,no_holiday,8,22.952380952380953
61,no_holiday,12,29.785714285714285
61,no_holiday,16,19.595238095238095
62,holiday,8,16.0
62,holiday,12,27.88888888888889
62,holiday,16,9.0
62,no_holiday,8,8.714285714285714
62,no_holiday,12,11.666666666666666
62,no_holiday,16,8.714285714285714
63,holiday,8,12.11111111111111
63,holiday,12,12.88888888888889
63,holiday,16,9.0
63,no_holiday,8,8.714285714285714
63,no_holiday,12,8.714285714285714
63,no_holiday,16,8.714285714285714
71,holiday,8,152.5
71,holiday,12,152.5
71,holiday,16,129.27777777777777
71,no_holiday,8,20.80952380952381
71,no_holiday,12,17.285714285714285
71,no_holiday,16,11.904761904761905
75,holiday,8,3.5
75,holiday,12,3.5
75,holiday,16,3.5
75,no_holiday,8,3.5
75,no_holiday,12,3.5
75,no_holiday,16,3.5
76,holiday,8,6.0
76,holiday,12,6.0
76,holiday,16,6.0
76,no_holiday,8,6.0
76,no_holiday,12,6.0
76,no_holiday,16,4.285714285714286
202,holiday,8,57.166666666666664
202,holiday,12,57.888888888888886
202,holiday,16,63.833333333333336
202,no_holiday,8,4.619047619047619
202,no_holiday,12,6.166666666666667
202,no_holiday,16,5.5476190476190474
