id_veronacard,itinerary,reward,best_reward,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,scores,preference_matches,time_process
522444,"[301, 58, 202]",25.668049959164556,30.03331433612328,180.0,30,18,12.0,4,0,3,"[23.557455215075347, 27.646239311430495, 25.8283859673869, 27.646239311430495, 28.132012164229806, 20.005281851238887, 17.155431252518312, 28.851083397424286, 30.03331433612328, 27.82505678478774]",14.0,381.751276
522485,"[202, 71, 75, 62]",35.18603286638325,41.328396379582884,258.0,70,32,0.0,6,1,4,"[31.584931211766197, 41.328396379582884, 39.78657607063666, 32.419470438194516, 28.720658829138962, 33.39216873024603, 33.39216873024603, 33.39216873024603, 38.92189477188761, 38.92189477188761]",22.0,509.237386
522507,"[71, 49, 59]",25.814272489787243,31.6118738125212,166.0,65,9,0.0,4,2,3,"[31.6118738125212, 19.814292362311697, 22.497781966585627, 27.05494060475705, 28.546494585606382, 28.546494585606382, 29.107170472009084, 23.984565046416527, 23.48955573102924, 23.48955573102924]",18.0,427.457044
522702,"[202, 42, 71, 76]",38.91261477560963,42.96545761584006,277.0,65,18,0.0,6,1,4,"[40.0246231246095, 41.11051024968039, 42.525293954260746, 39.675633403597075, 36.7804839218561, 32.500957645290775, 42.11524876177381, 33.65210553093432, 37.77583354825351, 42.96545761584006]",29.0,618.204525
522944,"[301, 62, 202, 71]",39.9001061755273,49.26013877850698,281.0,45,34,0.0,6,1,4,"[40.84245554215849, 40.02615399629552, 34.55765484260591, 32.01943262192579, 45.307157656729494, 36.581580721327214, 49.26013877850698, 34.42045093812485, 39.930667617828455, 46.05536903977031]",27.0,598.397674
523015,"[71, 202, 59, 75]",35.54904998908085,44.12143467438318,220.0,105,35,0.0,6,2,4,"[40.266381085019205, 37.157349133920995, 35.78930810269535, 41.60651012688145, 44.12143467438318, 36.36101138448734, 37.36825599384418, 28.684419929240633, 25.993569885719396, 28.14225957461679]",30.0,561.906014
523387,"[202, 42, 52, 76, 54]",29.112922951572386,29.809977985485947,229.0,45,86,0.0,6,0,5,"[24.289367317069274, 29.809977985485947, 28.702051974595562, 29.761118891224726, 29.761118891224726, 29.761118891224726, 29.761118891224726, 29.761118891224726, 29.761118891224726, 29.761118891224726]",37.0,311.196253
523424,"[71, 202, 62]",26.637890913559698,30.3697729645112,176.0,55,9,0.0,4,1,3,"[27.981551116333726, 25.40462846808275, 25.710498290143644, 25.710498290143644, 28.54714365523381, 28.54714365523381, 30.3697729645112, 23.532685815577107, 23.532685815577107, 27.04230106476018]",18.0,364.883792
524232,"[59, 49, 76]",18.3175212356288,20.722242825260594,145.0,25,57,13.0,4,1,3,"[18.049769942830896, 17.90558512180091, 17.90558512180091, 17.90558512180091, 17.90558512180091, 20.722242825260594, 16.8440305204571, 20.12565833693395, 17.90558512180091, 17.90558512180091]",20.0,197.098649
524648,"[52, 71, 54]",16.13894305977701,18.948056146476134,148.0,40,52,0.0,4,1,3,"[14.67630588731355, 14.67630588731355, 18.948056146476134, 14.67630588731355, 16.929204239720477, 15.660941784569134, 15.660941784569134, 17.172989744292135, 14.67630588731355, 18.31207334888887]",22.0,302.696305
525319,"[42, 71, 202, 63]",37.29042050432981,41.05695431899643,253.0,85,22,0.0,6,1,4,"[34.06997806889103, 34.77407884213209, 41.05695431899643, 37.88283358393417, 35.328120599650916, 37.88283358393417, 38.06383623771688, 37.88283358393417, 37.981368112054106, 37.981368112054106]",28.0,550.446935
525738,"[59, 202, 75, 201, 62]",34.034573872843296,40.739972700715164,310.0,75,89,6.0,8,1,5,"[34.442642750698305, 33.12070804571505, 35.02621939561337, 36.141638678240305, 34.955620416737624, 35.4600228769504, 29.84847681442414, 28.11788614261216, 32.492550906726485, 40.739972700715164]",29.0,732.880923
525826,"[202, 58, 201]",28.960905599411298,32.97299669676258,240.0,40,64,16.0,6,0,3,"[30.732621544836686, 31.171258615811077, 27.16954788932662, 27.49411172948425, 29.78356187194973, 26.971626987646328, 24.16359059028616, 26.17674337124693, 32.97299669676258, 32.97299669676258]",20.0,492.638512
525893,"[300, 76, 62, 54]",19.683026673620738,23.71587516448026,155.0,30,55,0.0,4,0,4,"[17.594770733039425, 21.627680081679575, 18.509099780999122, 23.71587516448026, 20.93311050548908, 18.81840653560722, 17.56540870765771, 17.914763901021175, 20.115000000000002, 20.036151326233806]",27.0,375.865088
526033,"[301, 54, 42]",20.357557033548936,29.239061394049774,163.0,45,32,0.0,4,0,3,"[18.86802361026776, 21.63240337795417, 14.426742498087492, 14.638340380766802, 17.737291941943784, 14.298949408816199, 22.146051767866044, 29.239061394049774, 26.934078177282856, 23.654627778454476]",18.0,382.327382
526138,"[202, 58, 52]",20.777688586253447,22.53977138424753,163.0,25,52,0.0,4,0,3,"[20.603693510557466, 19.198771482842616, 19.198771482842616, 19.198771482842616, 22.33211380792278, 22.53977138424753, 22.33211380792278, 17.708651287510495, 22.33211380792278, 22.33211380792278]",22.0,355.039254
