id_veronacard,itinerary,reward,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,preference_matches
522444,"[54.0, 52.0, 71.0]",25.407522379681566,150,20,8,0.0,4,1,3,18
522485,"[202.0, 59.0, 54.0]",28.851815138915583,165,20,7,0.0,6,1,3,20
522507,"[71.0, 54.0, 52.0, 61.0]",30.08046243595959,180,30,10,0.0,4,2,4,30
522702,"[61.0, 71.0]",20.220894390369462,120,15,8,0.0,6,2,2,16
522944,"[61.0, 52.0, 71.0, 202.0]",39.61376719299056,240,40,12,0.0,6,2,4,35
523015,"[71.0, 61.0, 59.0]",28.352295710648768,165,20,11,0.0,6,3,3,26
523023,"[61.0, 59.0, 52.0, 202.0]",32.00001901090063,195,35,9,0.0,6,2,4,32
523387,"[61.0, 59.0, 52.0, 71.0]",26.167614358762066,195,30,68,0.0,6,3,4,32
523424,"[61.0, 202.0]",20.627090682048212,120,15,5,0.0,4,1,2,16
523719,"[61.0, 54.0, 71.0]",24.613337350574696,150,25,9,0.0,6,2,3,26
524232,"[62.0, 61.0, 71.0]",19.412072961478167,145,20,56,0.0,4,2,3,20
524511,"[61.0, 54.0, 52.0, 71.0]",29.619029707327833,180,30,10,0.0,6,2,4,30
524648,"[61.0, 54.0, 52.0, 62.0, 202.0]",28.496994397759487,205,40,53,0.0,4,1,5,35
524980,"[61.0, 71.0]",15.447267184706568,120,15,53,0.0,4,2,2,16
525319,"[52.0, 54.0, 71.0, 202.0]",40.40447917345743,240,35,11,0.0,6,1,4,30
525738,"[71.0, 54.0, 52.0, 59.0]",26.9210876812665,195,30,59,0.0,8,2,4,29
525826,"[71.0, 59.0]",17.72967537869048,135,15,56,0.0,6,2,2,16
525893,"[71.0, 59.0, 61.0]",21.731493662977396,165,20,66,0.0,4,3,3,26
526033,"[59.0, 71.0]",17.929896832595134,135,15,56,0.0,4,2,2,17
526138,"[202.0, 52.0]",16.217663909883616,120,20,39,0.0,4,0,2,17
